no,token,pos,actual_label,predicted_label,sent_no,token_no,sent
11,Μίλητόν,Ne,place,0,30,6,οὗτος δὲ Πριηνέας τε εἷλε ἐς Μίλητόν τε ἐσέβαλε ἐπὶ τούτου τε τυραννεύοντος Σαρδίων Κιμμέριοι ἐξ ἠθέων ὑπὸ Σκυθέων τῶν νομάδων ἐξαναστάντες ἀπίκοντο ἐς τὴν Ἀσίην καὶ Σάρδις πλὴν τῆς ἀκροπόλιος εἷλον
12,Σαρδίων,Ne,place,0,30,13,οὗτος δὲ Πριηνέας τε εἷλε ἐς Μίλητόν τε ἐσέβαλε ἐπὶ τούτου τε τυραννεύοντος Σαρδίων Κιμμέριοι ἐξ ἠθέων ὑπὸ Σκυθέων τῶν νομάδων ἐξαναστάντες ἀπίκοντο ἐς τὴν Ἀσίην καὶ Σάρδις πλὴν τῆς ἀκροπόλιος εἷλον
13,Ἀσίην,Ne,place,0,30,25,οὗτος δὲ Πριηνέας τε εἷλε ἐς Μίλητόν τε ἐσέβαλε ἐπὶ τούτου τε τυραννεύοντος Σαρδίων Κιμμέριοι ἐξ ἠθέων ὑπὸ Σκυθέων τῶν νομάδων ἐξαναστάντες ἀπίκοντο ἐς τὴν Ἀσίην καὶ Σάρδις πλὴν τῆς ἀκροπόλιος εἷλον
14,Μιλησίην,A-,ethnic,0,34,4,ὡς δὲ ἐς τὴν Μιλησίην ἀπίκοιτο οἰκήματα μὲν τὰ ἐπὶ τῶν ἀγρῶν οὔτε κατέβαλλε οὔτε ἐνεπίμπρη οὔτε θύρας ἀπέσπα
15,Μιλήσιοι,A-,ethnic,0,35,4,τῆς γὰρ θαλάσσης οἱ Μιλήσιοι ἐπεκράτεον ὥστε ἐπέδρης μὴ εἶναι ἔργον τῇ στρατιῇ
16,Μιλησίην,A-,ethnic,0,38,19,τὰ μέν νυν ἓξ ἔτεα τῶν ἕνδεκα Σαδυάττης ὁ Ἄρδυος ἔτι Λυδῶν ἦρχε ὁ καὶ ἐσβάλλων τηνικαῦτα ἐς τὴν Μιλησίην τὴν στρατιήν
17,Ἀθηναίης,Ne,place,0,41,9,ὡς ἅφθη τάχιστα τὸ λήιον ἀνέμῳ βιώμενον ἅψατο νηοῦ Ἀθηναίης ἐπίκλησιν Ἀσσησίης
18,Δελφῶν,Nb,place,0,45,0,Δελφῶν οἶδα ἐγὼ οὕτω ἀκούσας γενέσθαι
19,Μιλήσιοι,A-,ethnic,0,46,0,Μιλήσιοι δὲ τάδε προστιθεῖσι τούτοισι Περίανδρον τὸν Κυψέλου ἐόντα Θρασυβούλῳ τῷ τότε Μιλήτου τυραννεύοντι ξεῖνον ἐς τὰ μάλιστα πυθόμενον τὸ χρηστήριον τὸ τῷ Ἀλυάττῃ γενόμενον πέμψαντα ἄγγελον κατειπεῖν ὅκως ἄν τι προειδὼς πρὸς τὸ παρεὸν βουλεύηται
20,Μιλήσιοι,A-,ethnic,0,47,0,Μιλήσιοι μέν νυν οὕτω λέγουσι γενέσθαι
21,Σαρδιηνὸς,A-,ethnic,0,51,15,ταῦτα δὲ ἐποίεέ τε καὶ προηγόρευε Θρασύβουλος τῶνδε εἵνεκεν ὅκως ἂν δὴ ὁ κῆρυξ ὁ Σαρδιηνὸς ἰδών τε σωρὸν μέγαν σίτου κεχυμένον καὶ τοὺς ἀνθρώπους ἐν εὐπαθείῃσι ἐόντας ἀγγείλῃ Ἀλυάττῃ
22,Μιλησίους,A-,ethnic,0,55,4,κατὰ μέν τὸν πρὸς Μιλησίους τε καὶ Θρασύβουλον πόλεμον Ἀλυάττῃ ὧδε ἔσχε
23,Ἀσίῃ,Ne,place,0,59,6,ὡς δὲ ἄρα οἱ ἐν τῇ Ἀσίῃ Ἕλληνες κατεστράφατο ἐς φόρου ἀπαγωγήν τὸ ἐνθεῦτεν ἐπενόεε νέας ποιησάμενος ἐπιχειρέειν τοῖσι νησιώτῃσι
24,Ἀθηναῖε,A-,ethnic,0,66,1,ξεῖνε Ἀθηναῖε παρ’ ἡμέας γὰρ περὶ σέο λόγος ἀπῖκται πολλὸς καὶ σοφίης εἵνεκεν τῆς σῆς καὶ πλάνης ὡς φιλοσοφέων γῆν πολλὴν θεωρίης εἵνεκεν ἐπελήλυθας
25,Ἀθηναῖε,A-,ethnic,0,71,2,ὦ ξεῖνε Ἀθηναῖε ἡ δ’ ἡμετέρη εὐδαιμονίη οὕτω τοι ἀπέρριπται ἐς τὸ μηδὲν ὥστε οὐδὲ ἰδιωτέων ἀνδρῶν ἀξίους ἡμέας ἐποίησας
26,Μιλησίης,A-,ethnic,0,76,13,οἳ δὲ τινὲς ἐπέμποντο παρὰ τε Ἀμφιάρεων καὶ παρὰ Τροφώνιον οἳ δὲ τῆς Μιλησίης ἐς Βραγχίδας
27,Λιβύης,Ne,place,0,77,0,Λιβύης δὲ παρὰ Ἄμμωνα ἀπέστελλε ἄλλους χρησομένους
28,Δελφῶν,Nb,place,0,87,3,ἐπικίρναται γὰρ ὑπὸ Δελφῶν Θεοφανίοισι
29,Σαμίου,A-,ethnic,0,88,6,φασὶ δὲ μιν Δελφοὶ Θεοδώρου τοῦ Σαμίου ἔργον εἶναι καὶ ἐγὼ δοκέω
30,Δελφῶν,Nb,place,0,89,4,ἐπέγραψε δὲ τῶν τις Δελφῶν Λακεδαιμονίοισι βουλόμενος χαρίζεσθαι τοῦ ἐπιστάμενος τὸ οὔνομα οὐκ ἐπιμνήσομαι
31,Δελφοὶ,Nb,place,0,90,23,ἄλλα τε ἀναθήματα οὐκ ἐπίσημα πολλὰ ἀπέπεμψε ἅμα τούτοισι ὁ Κροῖσος καὶ χεύματα ἀργύρεα κυκλοτερέα καὶ δὴ καὶ γυναικὸς εἴδωλον χρύσεον τρίπηχυ τὸ Δελφοὶ τῆς ἀρτοκόπου τῆς Κροίσου εἰκόνα λέγουσι εἶναι
32,Δελφοὺς,Ne,place,0,96,23,ἐπείτε δὲ ἀνενειχθέντα τὰ θεοπρόπια ἐπύθετο ὁ Κροῖσος ὑπερήσθη τε τοῖσι χρηστηρίοισι πάγχυ τε ἐλπίσας καταλύσειν τὴν Κύρου βασιληίην πέμψας αὖτις ἐς Πυθὼ Δελφοὺς δωρέεται πυθόμενος αὐτῶν τὸ πλῆθος κατ’ ἄνδρα δύο στατῆρσι ἕκαστον χρυσοῦ
33,Δελφοὺς,Ne,place,0,98,3,δωρησάμενος δὲ τοὺς Δελφοὺς ὁ Κροῖσος ἐχρηστηριάζετο τὸ τρίτον
34,Ἀθηναίους,A-,ethnic,0,100,5,ἱστορέων δὲ εὕρισκε Λακεδαιμονίους καὶ Ἀθηναίους προέχοντας τοὺς μὲν τοῦ Δωρικοῦ γένεος τοὺς δὲ τοῦ Ἰωνικοῦ
35,Ἕλληνος,Nb,ethnic,0,101,13,ἐπὶ μὲν γὰρ Δευκαλίωνος βασιλέος οἴκεε γῆν τὴν Φθιῶτιν ἐπὶ δὲ Δώρου τοῦ Ἕλληνος τὴν ὑπὸ τὴν Ὄσσαν τε καὶ τὸν Ὄλυμπον χώρην καλεομένην δὲ Ἱστιαιῶτιν
36,Ἀθηναίους,A-,ethnic,0,111,6,οἱ δὲ ἀμφὶ Πεισίστρατον ἐσπεσόντες τοὺς Ἀθηναίους τράπουσι
37,Ἀθηναίους,A-,ethnic,0,115,3,τοὺς μέν νυν Ἀθηναίους τοιαῦτα τὸν χρόνον τοῦτον ἐπυνθάνετο ὁ Κροῖσος κατέχοντα τοὺς δὲ Λακεδαιμονίους ἐκ κακῶν τε μεγάλων πεφευγότας καὶ ἐόντας ἤδη τῷ πολέμῳ κατυπερτέρους Τεγεητέων
38,Σπαρτιητέων,Nb,ethnic,0,118,2,Λυκούργου τῶν Σπαρτιητέων δοκίμου ἀνδρὸς ἐλθόντος ἐς Δελφοὺς ἐπὶ τὸ χρηστήριον ὡς ἐσήιε ἐς τὸ μέγαρον εὐθὺς ἡ Πυθίη λέγει τάδε
39,Σπαρτιητέων,Nb,ethnic,0,120,13,ὡς δ’ αὐτοὶ Λακεδαιμόνιοι λέγουσι Λυκοῦργον ἐπιτροπεύσαντα Λεωβώτεω ἀδελφιδέου μὲν ἑωυτοῦ βασιλεύοντος δὲ Σπαρτιητέων ἐκ Κρήτης ἀγαγέσθαι ταῦτα
40,Ἀθηναίης,Ne,place,0,122,20,αἱ δὲ πέδαι αὗται ἐν τῇσι ἐδεδέατο ἔτι καὶ ἐς ἐμὲ ἦσαν σόαι ἐν Τεγέῃ περὶ τὸν νηὸν τῆς Ἀλέης Ἀθηναίης κρεμάμεναι
41,Μιλήσιος,A-,ethnic,0,140,31,ὡς δὲ ἀπίκετο ἐπὶ τὸν Ἅλυν ποταμὸν ὁ Κροῖσος τὸ ἐνθεῦτεν ὡς μὲν ἐγὼ λέγω κατὰ τὰς ἐούσας γεφύρας διεβίβασε τὸν στρατόν ὡς δὲ ὁ πολλὸς λόγος Ἑλλήνων Θαλῆς οἱ ὁ Μιλήσιος διεβίβασε
42,Σαρδιηνοῦ,A-,ethnic,0,149,12,ἐς τὸ πεδίον δὲ συνελθόντων τοῦτο τὸ πρὸ τοῦ ἄστεος ἐστὶ τοῦ Σαρδιηνοῦ ἐὸν μέγα τε καὶ ψιλὸν διὰ δὲ αὐτοῦ ποταμοὶ ῥέοντες καὶ ἄλλοι καὶ Ὕλλος συρρηγνῦσι ἐς τὸν μέγιστον καλεόμενον δὲ Ἕρμον ὃς ἐξ ὄρεος ἱροῦ μητρὸς Δινδυμήνης ῥέων ἐκδιδοῖ ἐς θάλασσαν κατὰ Φωκαίην πόλιν ἐνθαῦτα ὁ Κῦρος ὡς εἶδε τοὺς Λυδοὺς ἐς μάχην τασσομένους καταρρωδήσας τὴν ἵππον ἐποίησε Ἁρπάγου ὑποθεμένου ἀνδρὸς Μήδου τοιόνδε
43,Σαρδιηνὸς,A-,ethnic,0,154,8,τοιούτων δὲ τοῖσι Σπαρτιήτῃσι ἐνεστεώτων πρηγμάτων ἧκε ὁ Σαρδιηνὸς κῆρυξ δεόμενος Κροίσῳ βοηθέειν πολιορκεομένῳ
44,Σαρδίων,Ne,place,0,156,6,τῇ οὐδὲ Μήλης ὁ πρότερον βασιλεὺς Σαρδίων μούνῃ οὐ περιήνεικε τὸν λέοντα τὸν οἱ ἡ παλλακὴ ἔτεκε Τελμησσέων δικασάντων ὡς περιενειχθέντος τοῦ λέοντος τὸ τεῖχος ἔσονται Σάρδιες ἀνάλωτοι
45,Σάρδιές,Ne,place,0,157,5,προσβάντων δὲ συχνῶν οὕτω δὴ Σάρδιές τε ἡλώκεσαν καὶ πᾶν τὸ ἄστυ ἐπορθέετο
46,Σαρδίων,Ne,place,0,169,12,προθυμεομένου δὲ Λοξίεω ὅκως ἂν κατὰ τοὺς παῖδας τοῦ Κροίσου γένοιτο τὸ Σαρδίων πάθος καὶ μὴ κατ’ αὐτὸν Κροῖσον οὐκ οἷόν τε ἐγίνετο παραγαγεῖν μοίρας
47,Ἕλληνές,Nb,ethnic,0,179,7,Λυδοὶ δὲ νόμοισι μὲν παραπλησίοισι χρέωνται καὶ Ἕλληνές χωρὶς ἢ ὅτι τὰ θήλεα τέκνα καταπορνεύουσι πρῶτοι δὲ ἀνθρώπων τῶν ἡμεῖς ἴδμεν νόμισμα χρυσοῦ καὶ ἀργύρου κοψάμενοι ἐχρήσαντο
48,Ἀσίης,Ne,place,0,183,4,Ἀσσυρίων ἀρχόντων τῆς ἄνω Ἀσίης ἐπ’ ἔτεα εἴκοσι καὶ πεντακόσια πρῶτοι ἀπ’ αὐτῶν Μῆδοι ἤρξαντο ἀπίστασθαι καὶ κως οὗτοι περὶ τῆς ἐλευθερίης μαχεσάμενοι τοῖσι Ἀσσυρίοισι ἐγένοντο ἄνδρες ἀγαθοί καὶ ἀπωσάμενοι τὴν δουλοσύνην ἐλευθερώθησαν
49,Ἀσίην,Ne,place,0,188,19,οὗτος ὁ τοῖσι Λυδοῖσι ἐστὶ μαχεσάμενος ὅτε νὺξ ἡ ἡμέρη ἐγένετό σφι μαχομένοισι καὶ ὁ τὴν Ἅλυος ποταμοῦ ἄνω Ἀσίην πᾶσαν συστήσας ἑωυτῷ
50,Ἀσίην,Ne,place,0,189,5,οἳ ἐσέβαλον μὲν ἐς τὴν Ἀσίην Κιμμερίους ἐκβαλόντες ἐκ τῆς Εὐρώπης
51,Ἀσίης,Ne,place,0,193,9,ἐπὶ μέν νυν ὀκτὼ καὶ εἴκοσι ἔτεα ἦρχον τῆς Ἀσίης οἱ Σκύθαι καὶ τὰ πάντα σφι ὑπό τε ὕβριος καὶ ὀλιγωρίης ἀνάστατα ἦν
52,Μιλησίων,A-,ethnic,0,227,20,Ἴωνες δὲ ὡς ἤκουσαν τούτων ἀνενειχθέντων ἐς τὰς πόλιας τείχεά τε περιεβάλοντο ἕκαστοι καὶ συνελέγοντο ἐς Πανιώνιον οἱ ἄλλοι πλὴν Μιλησίων
53,Μίλητος,Ne,place,0,229,0,Μίλητος μὲν αὐτέων πρώτη κέεται πόλις πρὸς μεσαμβρίην μετὰ δὲ Μυοῦς τε καὶ Πριήνη
54,Σάμιοι,A-,ethnic,0,230,9,Χῖοι μέν νυν καὶ Ἐρυθραῖοι κατὰ τὸ αὐτὸ διαλέγονται Σάμιοι δὲ ἐπ’ ἑωυτῶν μοῦνοι
55,Μιλήσιοι,A-,ethnic,0,231,6,τούτων δὴ ὦν τῶν Ἰώνων οἱ Μιλήσιοι μὲν ἦσαν ἐν σκέπῃ τοῦ φόβου ὅρκιον ποιησάμενοι τοῖσι δὲ αὐτῶν νησιώτῃσι ἦν δεινὸν οὐδέν
56,Ἀθηναίων,A-,ethnic,0,234,7,οἱ δὲ αὐτῶν ἀπὸ τοῦ πρυτανηίου τοῦ Ἀθηναίων ὁρμηθέντες καὶ νομίζοντες γενναιότατοι εἶναι Ἰώνων οὗτοι δὲ οὐ γυναῖκας ἠγάγοντο ἐς τὴν ἀποικίην ἀλλὰ Καείρας ἔσχον τῶν ἐφόνευσαν τοὺς γονέας
57,Σάμῳ,Ne,place,0,237,11,ἡ δὲ Μυκάλη ἐστὶ τῆς ἠπείρου ἄκρη πρὸς ζέφυρον ἄνεμον κατήκουσα Σάμῳ καταντίον ἐς τὴν συλλεγόμενοι ἀπὸ τῶν πολίων Ἴωνες ἄγεσκον ὁρτὴν τῇ ἔθεντο οὔνομα Πανιώνια
58,Σπαρτιητέων,Nb,ethnic,0,240,11,ὁ δὲ πορφύρεόν τε εἷμα περιβαλόμενος ὡς ἂν πυνθανόμενοι πλεῖστοι συνέλθοιεν Σπαρτιητέων καὶ καταστὰς ἔλεγε πολλὰ τιμωρέειν ἑωυτοῖσι χρηίζων
59,Σπαρτιήτην,Nb,ethnic,0,243,8,πυνθανόμενον δέ μιν εἰπεῖν πρὸς τὸν κήρυκα τὸν Σπαρτιήτην
60,Αἰγύπτιοι,A-,ethnic,0,247,15,ἡ τε γὰρ Βαβυλών οἱ ἦν ἐμπόδιος καὶ τὸ Βάκτριον ἔθνος καὶ Σάκαι τε καὶ Αἰγύπτιοι ἐπ’ οὓς ἐπεῖχέ τε στρατηλατέειν αὐτός ἐπὶ δὲ Ἴωνας ἄλλον πέμπειν στρατηγόν
61,Ἀθηναίης,Ne,place,0,258,4,ἐνθεῦτεν δὲ ἐξ ἱροῦ Ἀθηναίης πολιούχου ἀποσπασθεὶς ὑπὸ Χίων ἐξεδόθη
62,Μιλησίων,A-,ethnic,0,263,5,οἱ δ’ ἄλλοι Ἴωνες πλὴν Μιλησίων διὰ μάχης μὲν ἀπίκοντο Ἁρπάγῳ κατά περ οἱ ἐκλιπόντες καὶ ἄνδρες ἐγένοντο ἀγαθοὶ περὶ τῆς ἑωυτοῦ ἕκαστος μαχόμενοι
63,Μιλήσιοι,A-,ethnic,0,264,0,Μιλήσιοι δέ ὡς καὶ πρότερόν μοι ἔρηται αὐτῷ Κύρῳ ὅρκιον ποιησάμενοι ἡσυχίην ἦγον
64,Μιλησίου,A-,ethnic,0,266,9,χρηστὴ δὲ καὶ πρὶν ἢ διαφθαρῆναι Ἰωνίην Θάλεω ἀνδρὸς Μιλησίου ἐγένετο τὸ ἀνέκαθεν γένος ἐόντος Φοίνικος ὃς ἐκέλευε ἓν βουλευτήριον Ἴωνας ἐκτῆσθαι τὸ δὲ εἶναι ἐν Τέῳ Τέων γὰρ μέσον εἶναι Ἰωνίης τὰς δὲ ἄλλας πόλιας οἰκεομένας μηδὲν ἧσσον νομίζεσθαι κατά περ εἰ δῆμοι εἶεν
65,Ἀσίη,Ne,place,0,277,23,δυώδεκα ὦν μηνῶν ἐόντων ἐς τὸν ἐνιαυτὸν τοὺς τέσσερας μῆνας τρέφει μιν ἡ Βαβυλωνίη χώρη τοὺς δὲ ὀκτὼ τῶν μηνῶν ἡ λοιπὴ πᾶσα Ἀσίη
66,Αἰγυπτίη,A-,ethnic,0,280,8,ἡ γὰρ Βαβυλωνίη χώρη πᾶσα κατά περ ἡ Αἰγυπτίη κατατέτμηται ἐς διώρυχας
67,Ἕλληνὲς,Nb,ethnic,0,281,11,τοὺς συκέων τρόπον θεραπεύουσι τά τε ἄλλα καὶ φοινίκων τοὺς ἔρσενας Ἕλληνὲς καλέουσι τούτων τὸν καρπὸν περιδέουσι τῇσι βαλανηφόροισι τὸν φοινίκων ἵνα πεπαίνῃ τε σφι ὁ ψὴν τὴν βάλανον ἐσδύνων καὶ μὴ ἀπορρέῃ ὁ καρπὸς τοῦ φοίνικος
68,Ἕλληνὲς,Nb,ethnic,0,283,3,τὴν μὲν γὰρ Ἕλληνὲς ναυτίλλονται πᾶσα καὶ ἡ ἔξω στηλέων θάλασσα ἡ Ἀτλαντὶς καλεομένη καὶ ἡ Ἐρυθρὴ μία ἐοῦσα τυγχάνει
69,Λιβύην,Ne,place,0,295,10,ἀπικόμενοι δὲ ἐπὶ τὸ χρηστήριον ἐχρέωντο φάμενοι οἰκέειν τε τὴν Λιβύην καὶ οὐδὲν ἄμεινον πρήσσειν οἰκεῦντες
70,Λιβύην,Ne,place,0,296,3,αἰ τὺ ἐμεῦ Λιβύην μηλοτρόφον οἶδας ἄμεινον μὴ ἐλθὼν ἐλθόντος ἄγαν ἄγαμαι σοφίην σεῦ
71,Λιβύην,Ne,place,0,297,14,οὐ γὰρ δή σφεας ἀπίει ὁ θεὸς τῆς ἀποικίης πρὶν δὴ ἀπίκωνται ἐς αὐτὴν Λιβύην
72,Λιβύην,Ne,place,0,301,17,ἐπὶ δὲ τοῦ τρίτου Βάττου τοῦ εὐδαίμονος καλεομένου Ἕλληνας πάντας ὥρμησε χρήσασα ἡ Πυθίη πλέειν συνοικήσοντας Κυρηναίοισι Λιβύην
73,Λιβύην,Ne,place,0,302,4,ὃς δέ κεν ἐς Λιβύην πολυήρατον ὕστερον ἔλθῃ γᾶς ἀναδαιομένας μετὰ οἷ ποκα φαμὶ μελήσειν
74,Αἰγύπτιοι,A-,ethnic,0,306,6,ἅτε γὰρ οὐ πεπειρημένοι πρότερον οἱ Αἰγύπτιοι Ἑλλήνων καὶ παραχρεώμενοι διεφθάρησαν οὕτω ὥστε ὀλίγοι τινὲς αὐτῶν ἀπενόστησαν ἐς Αἴγυπτον
75,Ἑλλήνων,Nb,ethnic,0,306,7,ἅτε γὰρ οὐ πεπειρημένοι πρότερον οἱ Αἰγύπτιοι Ἑλλήνων καὶ παραχρεώμενοι διεφθάρησαν οὕτω ὥστε ὀλίγοι τινὲς αὐτῶν ἀπενόστησαν ἐς Αἴγυπτον
76,Σάμον,Ne,place,0,311,6,ἐνθεῦτεν στασιάζων ἑσσώθη καὶ ἔφυγε ἐς Σάμον
77,Λιβύης,Ne,place,0,321,8,ἀπεπέμπετο δὲ ἡ στρατιή ὡς ἐμοὶ δοκέειν ἐπὶ Λιβύης καταστροφῇ
78,Λιβύης,Ne,place,0,324,14,ὁ δὲ λόφος οὗτος ὁ Χαρίτων δασὺς ἴδῃσι ἐστί ἐούσης τῆς ἄλλης τῆς προκαταλεχθείσης Λιβύης ψιλῆς
79,Λιβύην,Ne,place,0,326,14,καί μιν ὡς πλέοντα γενέσθαι κατὰ Μαλέην ὑπολαβεῖν ἄνεμον βορέην καὶ ἀποφέρειν πρὸς τὴν Λιβύην
80,Ἀθηναίης,Ne,place,0,327,3,ὁρτῇ δὲ ἐνιαυσίῃ Ἀθηναίης αἱ παρθένοι αὐτῶν δίχα διαστᾶσαι μάχονται πρὸς ἀλλήλας λίθοισί τε καὶ ξύλοισι τῷ αὐθιγενέι θεῷ λέγουσαι τὰ πάτρια ἀποτελέειν τὴν Ἀθηναίην καλέομεν
81,Ἀθηναίην,Ne,place,0,327,24,ὁρτῇ δὲ ἐνιαυσίῃ Ἀθηναίης αἱ παρθένοι αὐτῶν δίχα διαστᾶσαι μάχονται πρὸς ἀλλήλας λίθοισί τε καὶ ξύλοισι τῷ αὐθιγενέι θεῷ λέγουσαι τὰ πάτρια ἀποτελέειν τὴν Ἀθηναίην καλέομεν
82,Ἀθηναίην,Ne,place,0,331,2,τὴν δὲ Ἀθηναίην φασὶ Ποσειδέωνος εἶναι θυγατέρα καὶ τῆς Τριτωνίδος λίμνης καί μιν μεμφθεῖσάν τι τῷ πατρὶ δοῦναι ἑωυτὴν τῷ Διί
83,Λιβύη,Ne,place,0,332,8,ὑπὲρ δὲ τούτων ἐς μεσόγαιαν ἡ θηριώδης ἐστὶ Λιβύη
84,Αἰγύπτιοι,A-,ethnic,0,335,24,οὕτω μὲν μέχρι τῆς Τριτωνίδος λίμνης ἀπ’ Αἰγύπτου νομάδες εἰσὶ κρεοφάγοι τε καὶ γαλακτοπόται Λίβυες καὶ θηλέων τε βοῶν οὔτι γευόμενοι διότι περ οὐδὲ Αἰγύπτιοι καὶ ὗς οὐ τρέφοντες
85,Λιβύῃ,Ne,place,0,344,6,ἔλαφος δὲ καὶ ὗς ἄγριος ἐν Λιβύῃ πάμπαν οὐκ ἔστι
86,Λιβύῃ,Ne,place,0,345,9,οὕτω ὦν καὶ τὰ ἀπὸ τῆς νήσου τῆς ἐπὶ Λιβύῃ κειμένης οἰκότα ἐστὶ ἀληθείῃ
87,Λιβύη,Ne,place,0,348,8,δοκέει δέ μοι οὐδ’ ἀρετὴν εἶναι τις ἡ Λιβύη σπουδαίη ὥστε ἢ Ἀσίῃ ἢ Εὐρώπῃ παραβληθῆναι πλὴν Κίνυπος μούνης
88,Λιβύῃ,Ne,place,0,349,14,αὕτη δὲ ὁμοίη τῇ ἀρίστῃ γέων Δήμητρος καρπὸν ἐκφέρειν οὐδὲ ἔοικε οὐδὲν τῇ ἄλλῃ Λιβύῃ
89,Μιλησίου,A-,ethnic,0,365,16,Δαρεῖος δὲ ὡς διαβὰς τάχιστα τὸν Ἑλλήσποντον ἀπίκετο ἐς Σάρδις ἐμνήσθη τῆς ἐξ Ἱστιαίου τε τοῦ Μιλησίου εὐεργεσίης καὶ τῆς παραινέσιος τοῦ Μυτιληναίου Κώεω
90,Ἀσίην,Ne,place,0,369,12,ἦν Πίγρης καὶ Μαντύης ἄνδρες Παίονες οἳ ἐπείτε Δαρεῖος διέβη ἐς τὴν Ἀσίην αὐτοὶ ἐθέλοντες Παιόνων τυραννεύειν ἀπικνέονται ἐς Σάρδις ἅμα ἀγόμενοι ἀδελφεὴν μεγάλην τε καὶ εὐειδέα
91,Ἕλλην,Nb,ethnic,0,397,10,Ἀλέξανδρος δὲ ἐπειδὴ ἀπέδεξε ὡς εἴη Ἀργεῖος ἐκρίθη τε εἶναι Ἕλλην καὶ ἀγωνιζόμενος στάδιον συνεξέπιπτε τῷ πρώτῳ
92,Μιλησίου,A-,ethnic,0,400,6,ἅτε δὲ τειχέοντος ἤδη Ἱστιαίου τοῦ Μιλησίου τὴν παρὰ Δαρείου αἰτήσας ἔτυχε μισθὸν δωρεὴν φυλακῆς τῆς σχεδίης ἐόντος δὲ τοῦ χώρου τούτου παρὰ Στρυμόνα ποταμὸν τῷ οὔνομα ἐστὶ Μύρκινος μαθὼν ὁ Μεγάβαζος τὸ ποιεύμενον ἐκ τοῦ Ἱστιαίου ὡς ἦλθε τάχιστα ἐς τὰς Σάρδις ἄγων τοὺς Παίονας ἔλεγε Δαρείῳ τάδε
